"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.000000,-0.009332,-0.081584,1.620987,-0.000706,0.000819,-0.004043,0.003811,-0.186223
0.000500,0.022753,-0.065704,1.653298,-0.000778,0.000325,-0.004171,0.003163,-0.064614
0.001000,-0.017439,-0.065475,1.660769,-0.001318,0.000945,-0.004098,0.002514,-0.022132
0.001500,0.020791,-0.075812,1.647473,-0.000449,0.001109,-0.003913,0.001217,-0.002026
0.002000,0.008798,-0.075621,1.631354,-0.000396,0.001040,-0.003835,0.002838,-0.002350
0.002500,0.008902,-0.080423,1.655575,-0.000417,0.000488,-0.003643,0.002838,0.001217
0.003000,-0.003263,-0.106603,1.651135,-0.000839,-0.000033,-0.004055,0.003163,0.001866
0.003500,-0.031380,-0.075572,1.672628,-0.000747,0.000938,-0.003764,0.002514,-0.000404
0.004000,-0.007382,-0.073460,1.681501,-0.000514,0.000881,-0.003979,0.002190,0.003163
0.004500,0.022782,-0.056261,1.677229,-0.000862,0.000678,-0.003967,0.003163,0.001217
0.005000,0.006752,-0.072450,1.681545,-0.000422,0.000302,-0.003922,0.002190,0.001541
0.005500,-0.015270,-0.085113,1.692814,-0.000474,0.000432,-0.003707,0.003487,0.002514
0.006000,-0.025356,-0.084002,1.668873,-0.000705,0.000301,-0.003911,0.003487,-0.001053
0.006500,-0.011354,-0.082955,1.705455,-0.000419,0.000270,-0.003930,0.003163,0.003487
0.007000,-0.009266,-0.074676,1.655095,-0.000758,0.000428,-0.003874,0.003487,0.000568
0.007500,0.002764,-0.088692,1.614261,-0.000469,0.000365,-0.004044,0.002838,0.000568
0.008000,-0.011239,-0.073014,1.635783,-0.000136,0.000846,-0.003728,0.002838,0.005109
0.008500,0.004874,-0.082750,1.645506,-0.000196,0.000097,-0.003760,0.003163,0.000568
0.009000,0.002968,-0.091321,1.628600,-0.000949,-0.000514,-0.003746,0.002514,0.002190
0.009500,-0.013269,-0.084181,1.644838,-0.001137,0.000377,-0.003910,0.002190,0.003487
0.010000,-0.017225,-0.095573,1.622102,-0.000726,0.000456,-0.003801,0.002190,-0.000080
0.010500,0.016983,-0.054609,1.618473,-0.000432,0.000296,-0.003664,0.002190,0.003487
0.011000,0.012966,-0.068162,1.626162,0.000350,0.000867,-0.003492,0.002514,-0.000080
