"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.032000,-0.256500,0.045762,-1.132103,-0.006305,0.013240,0.003222,0.002514,0.001217
0.032500,-0.226311,0.041689,-1.119463,-0.006623,0.012521,0.003224,0.002838,0.001866
0.033000,-0.248530,0.052786,-1.132544,-0.005899,0.013022,0.003059,0.003487,-0.002026
0.033500,-0.248474,0.048080,-1.125556,-0.006295,0.013413,0.003256,0.003163,0.003163
0.034000,-0.236374,0.066904,-1.132066,-0.005920,0.013113,0.003321,0.002838,0.000568
0.034500,-0.232321,0.064729,-1.165580,-0.005936,0.013479,0.003379,0.002514,-0.000080
0.035000,-0.236384,0.054914,-1.152906,-0.006458,0.012960,0.003171,0.002838,0.003163
0.035500,-0.234255,0.060822,-1.145402,-0.006564,0.012918,0.003454,0.003811,-0.000080
0.036000,-0.254352,0.051833,-1.147940,-0.006225,0.013253,0.003505,0.002190,0.002838
0.036500,-0.258396,0.051548,-1.134959,-0.006695,0.013060,0.003416,0.002190,0.000244
0.037000,-0.234311,0.058415,-1.155944,-0.006441,0.012671,0.003255,0.002838,-0.001377
0.037500,-0.254464,0.051569,-1.148961,-0.006279,0.012841,0.003164,0.003163,0.002514
0.038000,-0.256391,0.034141,-1.131230,-0.006082,0.012911,0.003414,0.002838,-0.000080
0.038500,-0.242336,0.049361,-1.148490,-0.006104,0.013102,0.003396,0.002514,0.002190
0.039000,-0.224390,0.057455,-1.156467,-0.005887,0.013271,0.003126,0.002190,0.001866
0.039500,-0.216446,0.047537,-1.134189,-0.006228,0.012680,0.002839,0.002838,-0.001702
0.040000,-0.224306,0.064200,-1.132754,-0.006458,0.012968,0.003292,0.003487,0.004784
0.040500,-0.250405,0.058847,-1.131492,-0.006047,0.013362,0.003427,0.002514,0.001217
0.041000,-0.252654,0.071192,-1.116828,-0.006600,0.013183,0.002865,0.001866,0.000893
0.041500,-0.242435,0.077206,-1.139385,-0.006384,0.012845,0.003148,0.002190,0.002838
0.042000,-0.250503,0.051559,-1.142581,-0.006140,0.012955,0.003084,0.002838,-0.000729
0.042500,-0.258517,0.035228,-1.125292,-0.006217,0.013227,0.003219,0.002838,0.001541
0.043000,-0.240303,0.059777,-1.148588,-0.006286,0.012840,0.003396,0.002838,-0.000080
0.043500,-0.242441,0.061051,-1.135568,-0.005856,0.013039,0.003204,0.001866,-0.000404
0.044000,-0.216273,0.064075,-1.129598,-0.006229,0.012451,0.003207,0.001866,0.003163
0.044500,-0.224207,0.066536,-1.139017,-0.006773,0.012998,0.003487,0.003487,-0.001053
0.045000,-0.250357,0.061162,-1.151614,-0.006273,0.013282,0.003453,0.001217,0.003163
0.045500,-0.246536,0.060688,-1.129864,-0.006657,0.013209,0.003031,0.001866,0.002190
0.046000,-0.236490,0.071130,-1.126673,-0.006327,0.012592,0.002951,0.002190,0.000244
0.046500,-0.252569,0.057197,-1.109369,-0.006388,0.012909,0.003029,0.003163,0.002838
0.047000,-0.254531,0.025444,-1.105835,-0.006647,0.012881,0.003101,0.002514,-0.003647
0.047500,-0.234446,0.044301,-1.139792,-0.006093,0.012645,0.003000,0.002838,-0.002350
0.048000,-0.216508,0.052421,-1.124071,-0.005824,0.013005,0.002818,0.002838,0.001541
0.048500,-0.222505,0.067640,-1.096770,-0.005971,0.013004,0.002962,0.002838,0.000893
0.049000,-0.216266,0.066635,-1.142871,-0.006308,0.013169,0.003325,0.003163,0.004136
0.049500,-0.232474,0.050172,-1.129934,-0.006249,0.013129,0.003035,0.002190,0.003487
0.050000,-0.260545,0.073880,-1.155965,-0.006349,0.012979,0.003057,0.002514,0.000568
0.050500,-0.228433,0.059537,-1.136559,-0.005922,0.012547,0.002979,0.002838,0.002190
0.051000,-0.254467,0.063335,-1.135375,-0.006215,0.012945,0.003226,0.003163,-0.001702
0.051500,-0.240550,0.042997,-1.113329,-0.006423,0.012985,0.002944,0.003163,0.001866
0.052000,-0.242410,0.058615,-1.152472,-0.006060,0.012823,0.003171,0.003163,-0.000080
0.052500,-0.232422,0.062119,-1.122331,-0.005387,0.012424,0.003094,0.002838,-0.001377
0.053000,-0.238447,0.063043,-1.109208,-0.006222,0.012742,0.003147,0.003163,-0.000729
0.053500,-0.216184,0.047781,-1.139108,-0.006406,0.012790,0.003428,0.002514,-0.002026
0.054000,-0.228374,0.047669,-1.153512,-0.006690,0.012920,0.003086,0.001866,0.002838
0.054500,-0.254464,0.060941,-1.142217,-0.006323,0.012892,0.003196,0.002190,0.001866
0.055000,-0.250435,0.061009,-1.111502,-0.005803,0.012613,0.003284,0.003163,0.000568
0.055500,-0.260451,0.053067,-1.127784,-0.005839,0.013116,0.003393,0.002838,0.005109
0.056000,-0.246384,0.039668,-1.159268,-0.006582,0.012721,0.003188,0.002190,-0.001702
0.056500,-0.234386,0.044471,-1.169705,-0.006095,0.012812,0.003084,0.003487,0.001866
0.057000,-0.258466,0.054236,-1.148291,-0.005838,0.013106,0.003281,0.002838,0.000568
0.057500,-0.236362,0.071613,-1.145512,-0.005898,0.013001,0.003292,0.003811,-0.001702
0.058000,-0.218220,0.060826,-1.172878,-0.006202,0.012770,0.003290,0.002838,0.000568
0.058500,-0.220329,0.052518,-1.163379,-0.006059,0.012618,0.003062,0.001541,0.000568
0.059000,-0.244406,0.061935,-1.159556,-0.006701,0.012951,0.003169,0.002838,0.001866
0.059500,-0.250366,0.065820,-1.134703,-0.006012,0.012918,0.003426,0.002514,0.001217
0.060000,-0.262533,0.063276,-1.138949,-0.006448,0.012966,0.003138,0.002514,-0.002026
0.060500,-0.236425,0.061727,-1.156890,-0.006708,0.012685,0.003001,0.002838,0.000568
0.061000,-0.238463,0.060839,-1.149759,-0.006146,0.012911,0.003033,0.002514,-0.001377
0.061500,-0.260536,0.048240,-1.125065,-0.005774,0.012897,0.003166,0.004136,0.000568
0.062000,-0.244371,0.059956,-1.124781,-0.005810,0.012966,0.003400,0.004784,-0.000080
0.062500,-0.230360,0.065352,-1.139614,-0.006452,0.012782,0.003176,0.003163,-0.001377
0.063000,-0.254513,0.051570,-1.156067,-0.006375,0.013119,0.003081,0.002514,0.001866
0.063500,-0.248466,0.073598,-1.109003,-0.006630,0.012964,0.003230,0.003487,0.000568
0.064000,-0.262478,0.068330,-1.141468,-0.006088,0.013429,0.003369,0.002514,-0.000729
0.064500,-0.270515,0.065823,-1.148373,-0.006336,0.013010,0.003248,0.002514,0.002838
0.065000,-0.238434,0.055957,-1.160042,-0.006410,0.012503,0.002970,0.002838,-0.001377
0.065500,-0.256643,0.052735,-1.126175,-0.005897,0.012958,0.002888,0.003487,0.001541
0.066000,-0.256514,0.045769,-1.121996,-0.006210,0.013238,0.003223,0.004460,0.003163
0.066500,-0.234381,0.065742,-1.128715,-0.005646,0.012878,0.003265,0.002838,-0.002350
0.067000,-0.222517,0.074827,-1.127101,-0.005797,0.013085,0.002879,0.002514,0.000568
0.067500,-0.238546,0.067673,-1.113304,-0.006294,0.012962,0.002953,0.003163,-0.001053
0.068000,-0.248453,0.085352,-1.132638,-0.006760,0.013018,0.003204,0.002838,0.000568
0.068500,-0.248308,0.078802,-1.147919,-0.006133,0.013124,0.003543,0.001866,0.001217
0.069000,-0.268569,0.066934,-1.162513,-0.006663,0.013472,0.003138,0.001217,-0.002674
0.069500,-0.250442,0.056144,-1.142362,-0.006257,0.012540,0.003137,0.002838,0.001866
0.070000,-0.266508,0.072934,-1.144958,-0.006065,0.013009,0.003254,0.002838,-0.001702
0.070500,-0.260414,0.052921,-1.151599,-0.006407,0.013179,0.003389,0.001866,-0.000404
0.071000,-0.240275,0.062231,-1.144887,-0.006224,0.013030,0.003511,0.002838,0.001541
0.071500,-0.242407,0.072897,-1.155548,-0.005889,0.013201,0.003264,0.002514,-0.002026
0.072000,-0.248473,0.064515,-1.145760,-0.005979,0.012826,0.003116,0.002838,0.000893
0.072500,-0.244348,0.090497,-1.124649,-0.006023,0.013286,0.003523,0.003163,-0.001377
0.073000,-0.266566,0.065832,-1.145460,-0.006291,0.013345,0.003169,0.002190,-0.000080
0.073500,-0.266495,0.063105,-1.142304,-0.007057,0.012968,0.003217,0.002514,0.001866
0.074000,-0.248334,0.078743,-1.154845,-0.005856,0.012570,0.003371,0.003487,-0.002026
0.074500,-0.256400,0.059821,-1.128118,-0.006323,0.012847,0.003392,0.003163,0.000893
0.075000,-0.252518,0.029118,-1.112320,-0.006254,0.012809,0.003104,0.003487,-0.000729
0.075500,-0.242313,0.051730,-1.148288,-0.005998,0.012934,0.003424,0.003163,-0.002026
0.076000,-0.242459,0.063598,-1.128541,-0.005418,0.013171,0.003237,0.002514,0.002190
0.076500,-0.236335,0.062188,-1.138628,-0.005946,0.012894,0.003345,0.003811,0.000244
0.077000,-0.230190,0.060934,-1.155151,-0.006378,0.012893,0.003540,0.004460,0.000244
0.077500,-0.244289,0.059846,-1.175383,-0.006428,0.012894,0.003393,0.002838,-0.000729
0.078000,-0.262396,0.068097,-1.161676,-0.006517,0.012855,0.003361,0.000568,-0.002674
0.078500,-0.248285,0.066952,-1.147895,-0.006056,0.012548,0.003479,0.002514,0.001541
0.079000,-0.262446,0.068110,-1.124619,-0.006183,0.012821,0.003365,0.003163,-0.001377
0.079500,-0.256417,0.059821,-1.145177,-0.006373,0.012877,0.003306,0.003487,-0.000404
0.080000,-0.262349,0.056636,-1.174511,-0.006153,0.012995,0.003472,0.003487,0.001866
0.080500,-0.268421,0.053161,-1.140693,-0.005882,0.012970,0.003473,0.002514,-0.002674
0.081000,-0.260240,0.069465,-1.129959,-0.006078,0.012586,0.003757,0.003487,0.003811
0.081500,-0.240323,0.071645,-1.155255,-0.006037,0.012943,0.003373,0.003811,-0.000729
0.082000,-0.252457,0.052795,-1.138759,-0.006177,0.012993,0.003224,0.003487,0.000244
0.082500,-0.260389,0.069217,-1.107539,-0.006315,0.012781,0.003506,0.003487,0.003163
0.083000,-0.256269,0.074232,-1.147117,-0.005917,0.012755,0.003649,0.002514,-0.002350
0.083500,-0.262406,0.063237,-1.097568,-0.006439,0.012630,0.003474,0.002838,0.000244
0.084000,-0.242309,0.039335,-1.125574,-0.006817,0.012064,0.003269,0.003163,-0.000080
